"ID","sex","native","blind","hours","job","income","education"
319,"female","native","no",NA,NA,68863,"high-school"
320,"male","foreign","no",NA,"private",86542,"bachelor"
321,"male","native",NA,NA,NA,67890,"grade-school"
322,"male","native","no",25,"private",86963,"high-school"
323,"male","native","no",22,"private",139942,"grade-school"
324,"male","native",NA,NA,NA,61204,"grade-school"
325,"male","native",NA,NA,NA,60945,"grade-school"
326,"male","native","no",NA,NA,25791,"high-school"
327,"male","native",NA,NA,NA,69166,"grade-school"
328,"male","native","no",40,"private",89754,"high-school"
329,"male","native",NA,NA,NA,37579,"grade-school"
330,"male","native","no",40,"private",140741,"high-school"
331,"male","native","no",NA,NA,14372,"high-school"
332,"female","foreign","no",40,"private",102115,"high-school"
333,"male","native",NA,NA,NA,78523,"grade-school"
334,"male","native","no",40,"private",45302,"high-school"
335,"male","native",NA,NA,NA,67809,"grade-school"
336,"male","native","no",40,"private",22293,"grade-school"
337,"male","native","no",40,"private",75683,"high-school"
338,"female","native",NA,NA,NA,49238,"grade-school"
339,"male","native",NA,NA,NA,102580,"grade-school"
340,"male","native",NA,NA,NA,119964,"grade-school"
341,"female","native","yes",40,"private",52684,"high-school"
342,"male","native","no",30,"charity",48131,"bachelor"
343,"male","native","no",40,"public",219636,"master"
344,"male","native","no",40,"charity",130905,"bachelor"
345,"female","native","no",NA,NA,53720,"bachelor"
346,"female","native",NA,NA,NA,513135,"grade-school"
347,"female","native","no",NA,NA,89807,"high-school"
348,"female","native","no",50,"public",29884,"master"
349,"female","native",NA,NA,NA,407987,"grade-school"
350,"male","native","no",NA,NA,17317,"high-school"
351,"male","native","no",NA,NA,26782,"high-school"
352,"female","native","no",NA,"private",124,"bachelor"
353,"female","native","no",NA,NA,0,"high-school"
354,"male","native",NA,NA,NA,74624,"grade-school"
355,"female","native",NA,NA,NA,21960,"grade-school"
356,"female","native","no",40,"charity",3540,"high-school"
357,"male","native","no",48,"private",75971,"high-school"
358,"male","native","no",40,"private",143587,"high-school"
359,"male","native",NA,NA,NA,17829,"grade-school"
360,"female","native",NA,NA,NA,63924,"grade-school"
361,"male","native","no",NA,NA,61809,"high-school"
362,"female","native",NA,NA,NA,43522,"grade-school"
363,"female","native","no",NA,NA,56257,"bachelor"
364,"female","native","no",NA,NA,22792,"grade-school"
365,"female","native","yes",NA,NA,16193,"high-school"
366,"male","foreign","no",40,"private",219040,"doctor"
367,"female","native","no",NA,NA,26355,"high-school"
368,"female","native",NA,NA,NA,131337,"grade-school"
369,"male","native","no",40,"private",69501,"high-school"
370,"male","native","no",NA,NA,100039,"master"
371,"female","foreign","no",40,"public",141423,"bachelor"
372,"female","native","no",NA,NA,59732,"high-school"
373,"female","native","no",NA,NA,523779,"high-school"
374,"male","foreign","no",NA,NA,17318,"grade-school"
375,"male","native",NA,NA,NA,3529,"grade-school"
376,"male","native","no",40,"private",24564,"grade-school"
377,"female","native","no",40,"private",29383,"high-school"
378,"male","foreign","no",40,"private",64875,"master"
379,"female","native","no",35,"private",86337,"bachelor"
380,"male","foreign","no",40,"public",101286,"master"
381,"female","native","yes",NA,NA,9248,"high-school"
382,"female","native","no",24,"charity",27637,"bachelor"
383,"female","native","no",NA,"private",5533,"high-school"
384,"female","native","no",35,"private",92452,"high-school"
385,"male","native","no",NA,NA,12347,"grade-school"
386,"male","native",NA,NA,NA,44461,"grade-school"
387,"female","native","no",40,"private",85226,"high-school"
388,"female","native","no",NA,NA,86332,"high-school"
389,"female","native","no",30,"public",427492,"master"
390,"male","native","no",45,"private",125323,"bachelor"
391,"male","foreign","no",40,"private",55447,"grade-school"
392,"female","native","no",NA,NA,15308,"high-school"
393,"female","native","no",35,"private",78528,"master"
394,"male","native","no",35,"private",50245,"high-school"
395,"female","foreign","no",40,"charity",31332,"high-school"
396,"male","native","no",30,"private",534548,"bachelor"
397,"female","native",NA,NA,NA,36487,"grade-school"
398,"female","native","no",NA,NA,16348,"high-school"
399,"male","native",NA,NA,NA,25268,"grade-school"
400,"female","native",NA,NA,NA,4292,"grade-school"
401,"female","native","no",40,"public",47603,"high-school"
402,"female","native","no",40,"public",130528,"high-school"
403,"male","native","no",NA,NA,89271,"high-school"
404,"female","native","no",NA,NA,63442,"master"
405,"female","native","no",25,"private",78023,"bachelor"
406,"female","native","no",NA,NA,0,"high-school"
407,"male","native","no",40,"private",30587,"high-school"
408,"male","native","no",40,"private",19380,"high-school"
409,"male","native","no",40,"private",61204,"bachelor"
410,"male","native","no",60,"public",86174,"high-school"
411,"female","native","no",40,"private",46419,"high-school"
412,"female","native","no",40,"private",27254,"bachelor"
413,"male","native","no",40,"private",14903,"master"
414,"male","foreign","no",NA,NA,33750,"grade-school"
415,"female","foreign","no",30,"private",22544,"grade-school"
416,"male","foreign","no",28,"private",142662,"high-school"
417,"female","native","no",NA,NA,24404,"bachelor"
418,"male","native","no",50,"private",118535,"high-school"
419,"male","native","no",50,"private",115327,"bachelor"
420,"female","native","no",40,"private",105051,"bachelor"
421,"female","native","no",40,"private",116283,"high-school"
422,"male","native","no",6,"private",94313,"master"
423,"male","native","no",50,"private",96493,"high-school"
424,"male","native",NA,NA,NA,5038,"grade-school"
425,"male","foreign","no",NA,NA,75650,"grade-school"
426,"female","native","no",40,"charity",120365,"high-school"
427,"female","native","no",NA,NA,6945,"high-school"
428,"female","native","no",40,"public",64281,"high-school"
429,"male","foreign","no",NA,NA,15288,"high-school"
430,"female","native","no",36,"private",45404,"master"
431,"female","native","no",NA,NA,102431,"high-school"
432,"female","native","no",15,"private",330646,"master"
433,"female","native","no",NA,NA,3138,"grade-school"
434,"female","native","no",40,"charity",30943,"high-school"
435,"male","native","no",60,"private",110971,"high-school"
436,"male","native","no",NA,NA,18620,"high-school"
437,"female","native","no",NA,NA,8230,"high-school"
438,"female","native",NA,NA,NA,5257,"grade-school"
439,"male","native","no",40,"private",66831,"high-school"
440,"female","native","no",16,"private",75737,"master"
441,"male","native","no",36,"private",55687,"high-school"
442,"female","native","no",NA,NA,5062,"grade-school"
443,"male","native","no",NA,NA,23029,"grade-school"
444,"male","native","no",40,"private",16340,"high-school"
445,"female","native","no",40,"private",82635,"high-school"
446,"male","native","no",NA,"private",44375,"bachelor"
447,"male","native","no",40,"private",55447,"bachelor"
448,"male","native","no",20,"private",42965,"high-school"
449,"male","native","no",40,"private",50592,"bachelor"
450,"male","native","no",40,"private",85974,"high-school"
451,"female","native","no",NA,"private",2157,"high-school"
452,"female","native","no",NA,NA,35744,"bachelor"
453,"female","foreign","no",NA,NA,31002,"high-school"
